colors_tbl
BLACK
GREEN
SILVER
WHITE
GRAY
RED
GOLD
BLUE
N/A
BLUE DARK
TAN
CREAM
PURPLE
BEIGE
BLUE LIGHT
MAROON
GREEN DK
GREEN LGT
ORANGE
None
BROWN
BRONZE
YELLOW
COPPER
MULTICOLOR
CAMOUFLAGE
PINK
CHROME
